Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
2,Afghanistan,22008,Gross Domestic Product,6109,Value Local Currency,2010,2010,millions,746859,XAM
2,Afghanistan,22008,Gross Domestic Product,6109,Value Local Currency,2011,2011,millions,896162,XAM
2,Afghanistan,22008,Gross Domestic Product,6109,Value Local Currency,2012,2012,millions,1086198,XAM
2,Afghanistan,22008,Gross Domestic Product,6109,Value Local Currency,2013,2013,millions,1196728,XAM
2,Afghanistan,22008,Gross Domestic Product,6109,Value Local Currency,2014,2014,millions,1209266.814,XAM
2,Afghanistan,22008,Gross Domestic Product,6109,Value Local Currency,2015,2015,millions,1239381.572,XAM
2,Afghanistan,22008,Gross Domestic Product,6110,Value US$,2010,2010,millions,16077.92104,XAM
2,Afghanistan,22008,Gross Domestic Product,6110,Value US$,2011,2011,millions,19170.46766,XAM
2,Afghanistan,22008,Gross Domestic Product,6110,Value US$,2012,2012,millions,21330.874640000002,XAM
2,Afghanistan,22008,Gross Domestic Product,6110,Value US$,2013,2013,millions,21610.36522,XAM
2,Afghanistan,22008,Gross Domestic Product,6110,Value US$,2014,2014,millions,21123.48686,XAM
2,Afghanistan,22008,Gross Domestic Product,6110,Value US$,2015,2015,millions,20270.05898,XAM
2,Afghanistan,22008,Gross Domestic Product,6114,"Value Local Currency, 2005 prices",2010,2010,millions,514374.3753,XAM
2,Afghanistan,22008,Gross Domestic Product,6114,"Value Local Currency, 2005 prices",2011,2011,millions,559026.6919,XAM
2,Afghanistan,22008,Gross Domestic Product,6114,"Value Local Currency, 2005 prices",2012,2012,millions,620127.3433,XAM
2,Afghanistan,22008,Gross Domestic Product,6114,"Value Local Currency, 2005 prices",2013,2013,millions,660286.3785,XAM
2,Afghanistan,22008,Gross Domestic Product,6114,"Value Local Currency, 2005 prices",2014,2014,millions,674517.7624,XAM
2,Afghanistan,22008,Gross Domestic Product,6114,"Value Local Currency, 2005 prices",2015,2015,millions,658255.4449,XAM
2,Afghanistan,22008,Gross Domestic Product,6108,"Value US$, 2005 prices",2010,2010,millions,10392.53578,XAM
2,Afghanistan,22008,Gross Domestic Product,6108,"Value US$, 2005 prices",2011,2011,millions,11294.70124,XAM
2,Afghanistan,22008,Gross Domestic Product,6108,"Value US$, 2005 prices",2012,2012,millions,12529.19257,XAM
2,Afghanistan,22008,Gross Domestic Product,6108,"Value US$, 2005 prices",2013,2013,millions,13340.57477,XAM
2,Afghanistan,22008,Gross Domestic Product,6108,"Value US$, 2005 prices",2014,2014,millions,13628.10885,XAM
2,Afghanistan,22008,Gross Domestic Product,6108,"Value US$, 2005 prices",2015,2015,millions,13299.54133,XAM
2,Afghanistan,22016,"Value Added (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2010,2010,millions,207300,XAM
2,Afghanistan,22016,"Value Added (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2011,2011,millions,241743,XAM
2,Afghanistan,22016,"Value Added (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2012,2012,millions,275819,XAM
2,Afghanistan,22016,"Value Added (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2013,2013,millions,295270,XAM
2,Afghanistan,22016,"Value Added (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2014,2014,millions,294038,XAM
2,Afghanistan,22016,"Value Added (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2015,2015,millions,274103.3613,XAM
2,Afghanistan,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2010,2010,millions,4462.626856,XAM
2,Afghanistan,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2011,2011,millions,5171.304254,XAM
2,Afghanistan,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2012,2012,millions,5416.563567,XAM
2,Afghanistan,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2013,2013,millions,5331.948896,XAM
2,Afghanistan,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2014,2014,millions,5136.259225,XAM
